,distrito,date,valor,year
136,fuencarral,01/01/2012,20866,2012
137,fuencarral,01/01/2013,20841,2013
138,fuencarral,01/01/2014,21434,2014
139,fuencarral,01/01/2015,22426,2015
140,fuencarral,01/01/2016,22883,2016
141,fuencarral,01/01/2017,23545,2017
142,fuencarral,01/01/2018,23545,2018
143,fuencarral,01/01/2019,24644,2019
144,hortaleza,01/01/2002,15439,2002
145,hortaleza,01/01/2003,16326,2003
146,hortaleza,01/01/2004,17438,2004
147,hortaleza,01/01/2005,17806,2005
148,hortaleza,01/01/2006,19322,2006
149,hortaleza,01/01/2007,20381,2007
150,hortaleza,01/01/2008,21879,2008
151,hortaleza,01/01/2009,21601,2009
152,hortaleza,01/01/2010,21405,2010
153,hortaleza,01/01/2011,22015,2011
154,hortaleza,01/01/2012,21079,2012
155,hortaleza,01/01/2013,20956,2013
156,hortaleza,01/01/2014,21584,2014
157,hortaleza,01/01/2015,22643,2015
158,hortaleza,01/01/2016,23587,2016
159,hortaleza,01/01/2017,24502,2017
160,hortaleza,01/01/2018,24404,2018
161,hortaleza,01/01/2019,25437,2019
162,latina,01/01/2002,13326,2002
163,latina,01/01/2003,14246,2003
164,latina,01/01/2004,15006,2004
165,latina,01/01/2005,15894,2005
166,latina,01/01/2006,16946,2006
167,latina,01/01/2007,17616,2007
168,latina,01/01/2008,18529,2008
169,latina,01/01/2009,18531,2009
170,latina,01/01/2010,18377,2010
171,latina,01/01/2011,18319,2011
172,latina,01/01/2012,17939,2012
173,latina,01/01/2013,18146,2013
174,latina,01/01/2014,18152,2014
175,latina,01/01/2015,18873,2015
176,latina,01/01/2016,19188,2016
177,latina,01/01/2017,19274,2017
178,latina,01/01/2018,19646,2018
179,latina,01/01/2019,20241,2019
180,madrid,01/01/2002,15044,2002
181,madrid,01/01/2003,15916,2003
182,madrid,01/01/2004,16827,2004
183,madrid,01/01/2005,17439,2005
184,madrid,01/01/2006,18772,2006
185,madrid,01/01/2007,19838,2007
186,madrid,01/01/2008,21152,2008
187,madrid,01/01/2009,20639,2009
