,distrito,Nacionales,Extranjeros,nacionales,extranjeros,total,mes
6,ciudad_lineal,187031.0,25595.0,187031,25595,212626.0,01/06/15
7,fuencarral,218120.0,16763.0,218120,16763,234883.0,01/06/15
8,hortaleza           ,161224.0,15096.0,161224,15096,176320.0,01/06/15
9,latina              ,203769.0,31073.0,203769,31073,234842.0,01/06/15
10,moncloa,105241.0,11340.0,105241,11340,116581.0,01/06/15
11,moratalaz           ,87653.0,7132.0,87653,7132,94785.0,01/06/15
12,puente_vallecas,194753.0,32430.0,194753,32430,227183.0,01/06/15
13,retiro              ,110615.0,7775.0,110615,7775,118390.0,01/06/15
14,salamanca           ,127243.0,15880.0,127243,15880,143123.0,01/06/15
15,san:blas,138399.0,14904.0,138399,14904,153303.0,01/06/15
16,tetuan              ,126653.0,25489.0,126653,25489,152142.0,01/06/15
17,usera               ,109786.0,23793.0,109786,23793,133579.0,01/06/15
18,vicalvaro           ,61958.0,7751.0,61958,7751,69709.0,01/06/15
19,villaverde          ,118633.0,22824.0,118633,22824,141457.0,01/06/15
20,villa_vallecas,90214.0,10797.0,90214,10797,101011.0,01/06/15
21,madrid,2781906.0,378880.0,2781906,378880,3160786.0,01/06/15
0,arganzuela          ,136765.0,14461.0,136765,14461,151226.0,01/07/15
1,barajas             ,42306.0,3978.0,42306,3978,46284.0,01/07/15
2,carabanchel         ,204194.0,38080.0,204194,38080,242274.0,01/07/15
3,centro              ,104512.0,27574.0,104512,27574,132086.0,01/07/15
4,chamartin           ,130118.0,12211.0,130118,12211,142329.0,01/07/15
5,chamberi            ,123460.0,14101.0,123460,14101,137561.0,01/07/15
6,ciudad_lineal,187152.0,25746.0,187152,25746,212898.0,01/07/15
7,fuencarral,218373.0,16841.0,218373,16841,235214.0,01/07/15
8,hortaleza           ,161524.0,15170.0,161524,15170,176694.0,01/07/15
9,latina              ,203812.0,31091.0,203812,31091,234903.0,01/07/15
10,moncloa,105341.0,11292.0,105341,11292,116633.0,01/07/15
11,moratalaz           ,87700.0,7152.0,87700,7152,94852.0,01/07/15
12,puente_vallecas,194936.0,32716.0,194936,32716,227652.0,01/07/15
13,retiro              ,110751.0,7802.0,110751,7802,118553.0,01/07/15
14,salamanca           ,127266.0,15877.0,127266,15877,143143.0,01/07/15
15,san:blas,138529.0,15003.0,138529,15003,153532.0,01/07/15
16,tetuan              ,126788.0,25623.0,126788,25623,152411.0,01/07/15
17,usera               ,109947.0,24026.0,109947,24026,133973.0,01/07/15
18,vicalvaro           ,62038.0,7792.0,62038,7792,69830.0,01/07/15
19,villaverde          ,118826.0,22975.0,118826,22975,141801.0,01/07/15
20,villa_vallecas,90437.0,10852.0,90437,10852,101289.0,01/07/15
21,madrid,2784775.0,380363.0,2784775,380363,3165138.0,01/07/15
0,arganzuela          ,136638.0,14307.0,136638,14307,150945.0,01/08/15
1,barajas             ,42272.0,3891.0,42272,3891,46163.0,01/08/15
2,carabanchel         ,203824.0,37759.0,203824,37759,241583.0,01/08/15
3,centro              ,104163.0,27186.0,104163,27186,131349.0,01/08/15
4,chamartin           ,129962.0,12065.0,129962,12065,142027.0,01/08/15
5,chamberi            ,123235.0,13862.0,123235,13862,137097.0,01/08/15
6,ciudad_lineal,186768.0,25495.0,186768,25495,212263.0,01/08/15
7,fuencarral,218221.0,16747.0,218221,16747,234968.0,01/08/15
8,hortaleza           ,161438.0,14983.0,161438,14983,176421.0,01/08/15
9,latina              ,203464.0,30746.0,203464,30746,234210.0,01/08/15
10,moncloa,105357.0,11166.0,105357,11166,116523.0,01/08/15
11,moratalaz           ,87644.0,7077.0,87644,7077,94721.0,01/08/15
12,puente_vallecas,194488.0,32365.0,194488,32365,226853.0,01/08/15
13,retiro              ,110587.0,7732.0,110587,7732,118319.0,01/08/15
14,salamanca           ,126888.0,15554.0,126888,15554,142442.0,01/08/15
15,san:blas,138431.0,14900.0,138431,14900,153331.0,01/08/15
16,tetuan              ,126590.0,25378.0,126590,25378,151968.0,01/08/15
17,usera               ,109681.0,23915.0,109681,23915,133596.0,01/08/15
18,vicalvaro           ,62002.0,7708.0,62002,7708,69710.0,01/08/15
19,villaverde          ,118567.0,22730.0,118567,22730,141297.0,01/08/15
20,villa_vallecas,90477.0,10749.0,90477,10749,101226.0,01/08/15
21,madrid,2780697.0,376315.0,2780697,376315,3157012.0,01/08/15
0,arganzuela          ,136598.0,14313.0,136598,14313,150911.0,01/09/15
1,barajas             ,42282.0,3916.0,42282,3916,46198.0,01/09/15
2,carabanchel         ,203725.0,37881.0,203725,37881,241606.0,01/09/15
3,centro              ,104311.0,27214.0,104311,27214,131525.0,01/09/15
4,chamartin           ,129928.0,12182.0,129928,12182,142110.0,01/09/15
5,chamberi            ,123176.0,13838.0,123176,13838,137014.0,01/09/15
6,ciudad_lineal,186654.0,25561.0,186654,25561,212215.0,01/09/15
7,fuencarral,218251.0,16721.0,218251,16721,234972.0,01/09/15
8,hortaleza           ,161654.0,15109.0,161654,15109,176763.0,01/09/15
9,latina              ,203388.0,30889.0,203388,30889,234277.0,01/09/15
10,moncloa,105289.0,11207.0,105289,11207,116496.0,01/09/15
11,moratalaz           ,87535.0,7117.0,87535,7117,94652.0,01/09/15
12,puente_vallecas,194383.0,32476.0,194383,32476,226859.0,01/09/15
13,retiro              ,110522.0,7741.0,110522,7741,118263.0,01/09/15
14,salamanca           ,126825.0,15644.0,126825,15644,142469.0,01/09/15
15,san:blas,138387.0,14920.0,138387,14920,153307.0,01/09/15
16,tetuan              ,126579.0,25483.0,126579,25483,152062.0,01/09/15
17,usera               ,109704.0,24090.0,109704,24090,133794.0,01/09/15
18,vicalvaro           ,62018.0,7717.0,62018,7717,69735.0,01/09/15
19,villaverde          ,118535.0,22807.0,118535,22807,141342.0,01/09/15
20,villa_vallecas,90615.0,10794.0,90615,10794,101409.0,01/09/15
21,madrid,2780359.0,377620.0,2780359,377620,3157979.0,01/09/15
0,arganzuela          ,136960.0,14454.0,136960,14454,151414.0,01/10/15
1,barajas             ,42366.0,3976.0,42366,3976,46342.0,01/10/15
2,carabanchel         ,204098.0,38518.0,204098,38518,242616.0,01/10/15
3,centro              ,104729.0,27699.0,104729,27699,132428.0,01/10/15
4,chamartin           ,130232.0,12360.0,130232,12360,142592.0,01/10/15
5,chamberi            ,123500.0,14165.0,123500,14165,137665.0,01/10/15
6,ciudad_lineal,186953.0,25955.0,186953,25955,212908.0,01/10/15
7,fuencarral,218713.0,16965.0,218713,16965,235678.0,01/10/15
8,hortaleza           ,162310.0,15388.0,162310,15388,177698.0,01/10/15
9,latina              ,203563.0,31168.0,203563,31168,234731.0,01/10/15
10,moncloa,105459.0,11376.0,105459,11376,116835.0,01/10/15
11,moratalaz           ,87625.0,7237.0,87625,7237,94862.0,01/10/15
12,puente_vallecas,194697.0,32904.0,194697,32904,227601.0,01/10/15
13,retiro              ,110698.0,7894.0,110698,7894,118592.0,01/10/15
14,salamanca           ,127102.0,16125.0,127102,16125,143227.0,01/10/15
15,san:blas,138687.0,15126.0,138687,15126,153813.0,01/10/15
16,tetuan              ,126832.0,25829.0,126832,25829,152661.0,01/10/15
17,usera               ,109908.0,24273.0,109908,24273,134181.0,01/10/15
18,vicalvaro           ,62142.0,7837.0,62142,7837,69979.0,01/10/15
19,villaverde          ,118756.0,23055.0,118756,23055,141811.0,01/10/15
20,villa_vallecas,91000.0,10885.0,91000,10885,101885.0,01/10/15
21,madrid,2786330.0,383189.0,2786330,383189,3169519.0,01/10/15
0,arganzuela          ,137141.0,14675.0,137141,14675,151816.0,01/11/15
1,barajas             ,42394.0,3999.0,42394,3999,46393.0,01/11/15
2,carabanchel         ,203999.0,38882.0,203999,38882,242881.0,01/11/15
3,centro              ,104988.0,28199.0,104988,28199,133187.0,01/11/15
4,chamartin           ,130278.0,12600.0,130278,12600,142878.0,01/11/15
5,chamberi            ,123622.0,14414.0,123622,14414,138036.0,01/11/15
6,ciudad_lineal,187055.0,26169.0,187055,26169,213224.0,01/11/15
7,fuencarral,218940.0,17116.0,218940,17116,236056.0,01/11/15
8,hortaleza           ,162382.0,15508.0,162382,15508,177890.0,01/11/15
9,latina              ,203495.0,31454.0,203495,31454,234949.0,01/11/15
10,moncloa,105485.0,11686.0,105485,11686,117171.0,01/11/15
11,moratalaz           ,87611.0,7425.0,87611,7425,95036.0,01/11/15
12,puente_vallecas,194665.0,33228.0,194665,33228,227893.0,01/11/15
13,retiro              ,110658.0,8003.0,110658,8003,118661.0,01/11/15
14,salamanca           ,127240.0,16562.0,127240,16562,143802.0,01/11/15
15,san:blas,138716.0,15242.0,138716,15242,153958.0,01/11/15
16,tetuan              ,126909.0,26069.0,126909,26069,152978.0,01/11/15
17,usera               ,109930.0,24539.0,109930,24539,134469.0,01/11/15
18,vicalvaro           ,62121.0,7873.0,62121,7873,69994.0,01/11/15
19,villaverde          ,118702.0,23252.0,118702,23252,141954.0,01/11/15
20,villa_vallecas,91132.0,10942.0,91132,10942,102074.0,01/11/15
21,madrid,2787463.0,387837.0,2787463,387837,3175300.0,01/11/15
0,arganzuela          ,137087.0,14670.0,137087,14670,151757.0,01/12/15
1,barajas             ,42341.0,3999.0,42341,3999,46340.0,01/12/15
2,carabanchel         ,203660.0,38978.0,203660,38978,242638.0,01/12/15
3,centro              ,104777.0,28318.0,104777,28318,133095.0,01/12/15
4,chamartin           ,130312.0,12638.0,130312,12638,142950.0,01/12/15
5,chamberi            ,123539.0,14498.0,123539,14498,138037.0,01/12/15
6,ciudad_lineal,186798.0,26214.0,186798,26214,213012.0,01/12/15
7,fuencarral,218826.0,17103.0,218826,17103,235929.0,01/12/15
8,hortaleza           ,162358.0,15580.0,162358,15580,177938.0,01/12/15
9,latina              ,203400.0,31429.0,203400,31429,234829.0,01/12/15
10,moncloa,105372.0,11707.0,105372,11707,117079.0,01/12/15
11,moratalaz           ,87431.0,7428.0,87431,7428,94859.0,01/12/15
12,puente_vallecas,194411.0,33256.0,194411,33256,227667.0,01/12/15
13,retiro              ,110579.0,8070.0,110579,8070,118649.0,01/12/15
14,salamanca           ,127066.0,16694.0,127066,16694,143760.0,01/12/15
15,san:blas,138509.0,15275.0,138509,15275,153784.0,01/12/15
16,tetuan              ,126822.0,26054.0,126822,26054,152876.0,01/12/15
17,usera               ,109760.0,24614.0,109760,24614,134374.0,01/12/15
18,vicalvaro           ,62076.0,7868.0,62076,7868,69944.0,01/12/15
19,villaverde          ,118535.0,23233.0,118535,23233,141768.0,01/12/15
20,villa_vallecas,91173.0,10938.0,91173,10938,102111.0,01/12/15
21,madrid,2784832.0,388564.0,2784832,388564,3173396.0,01/12/15
0,arganzuela          ,137265.0,14636.0,137265,14636,151901.0,01/01/16
1,barajas             ,42367.0,4006.0,42367,4006,46373.0,01/01/16
2,carabanchel         ,203678.0,39065.0,203678,39065,242743.0,01/01/16
3,centro              ,104916.0,28217.0,104916,28217,133133.0,01/01/16
4,chamartin           ,130459.0,12610.0,130459,12610,143069.0,01/01/16
5,chamberi            ,123647.0,14406.0,123647,14406,138053.0,01/01/16
6,ciudad_lineal,186840.0,26208.0,186840,26208,213048.0,01/01/16
7,fuencarral,219018.0,17041.0,219018,17041,236059.0,01/01/16
8,hortaleza           ,162594.0,15536.0,162594,15536,178130.0,01/01/16
9,latina              ,203433.0,31250.0,203433,31250,234683.0,01/01/16
10,moncloa,105405.0,11630.0,105405,11630,117035.0,01/01/16
11,moratalaz           ,87445.0,7430.0,87445,7430,94875.0,01/01/16
12,puente_vallecas,194520.0,33332.0,194520,33332,227852.0,01/01/16
13,retiro              ,110781.0,8050.0,110781,8050,118831.0,01/01/16
14,salamanca           ,127063.0,16656.0,127063,16656,143719.0,01/01/16
15,san:blas,138594.0,15262.0,138594,15262,153856.0,01/01/16
16,tetuan              ,126976.0,26100.0,126976,26100,153076.0,01/01/16
17,usera               ,109725.0,24675.0,109725,24675,134400.0,01/01/16
18,vicalvaro           ,62115.0,7843.0,62115,7843,69958.0,01/01/16
19,villaverde          ,118610.0,23245.0,118610,23245,141855.0,01/01/16
20,villa_vallecas,91374.0,10922.0,91374,10922,102296.0,01/01/16
21,madrid,2786825.0,388120.0,2786825,388120,3174945.0,01/01/16
0,arganzuela          ,137697.0,14616.0,137697,14616,152313.0,01/02/16
1,barajas             ,42522.0,4008.0,42522,4008,46530.0,01/02/16
2,carabanchel         ,204061.0,39260.0,204061,39260,243321.0,01/02/16
3,centro              ,105187.0,28155.0,105187,28155,133342.0,01/02/16
4,chamartin           ,130722.0,12654.0,130722,12654,143376.0,01/02/16
5,chamberi            ,123870.0,14342.0,123870,14342,138212.0,01/02/16
6,ciudad_lineal,187189.0,26259.0,187189,26259,213448.0,01/02/16
7,fuencarral,219450.0,17068.0,219450,17068,236518.0,01/02/16
8,hortaleza           ,163097.0,15585.0,163097,15585,178682.0,01/02/16
9,latina              ,203707.0,31268.0,203707,31268,234975.0,01/02/16
10,moncloa,105644.0,11563.0,105644,11563,117207.0,01/02/16
11,moratalaz           ,87538.0,7491.0,87538,7491,95029.0,01/02/16
12,puente_vallecas,194774.0,33509.0,194774,33509,228283.0,01/02/16
13,retiro              ,110962.0,8018.0,110962,8018,118980.0,01/02/16
14,salamanca           ,127376.0,16674.0,127376,16674,144050.0,01/02/16
15,san:blas,138748.0,15269.0,138748,15269,154017.0,01/02/16
16,tetuan              ,127308.0,26155.0,127308,26155,153463.0,01/02/16
17,usera               ,109884.0,24852.0,109884,24852,134736.0,01/02/16
18,vicalvaro           ,62140.0,7870.0,62140,7870,70010.0,01/02/16
19,villaverde          ,118829.0,23334.0,118829,23334,142163.0,01/02/16
20,villa_vallecas,91722.0,11020.0,91722,11020,102742.0,01/02/16
21,madrid,2792427.0,388970.0,2792427,388970,3181397.0,01/02/16
0,arganzuela          ,137498.0,14536.0,137498,14536,152034.0,01/03/16
1,barajas             ,42530.0,4006.0,42530,4006,46536.0,01/03/16
2,carabanchel         ,203835.0,39162.0,203835,39162,242997.0,01/03/16
3,centro              ,104823.0,27861.0,104823,27861,132684.0,01/03/16
4,chamartin           ,130443.0,12555.0,130443,12555,142998.0,01/03/16
5,chamberi            ,123638.0,14207.0,123638,14207,137845.0,01/03/16
6,ciudad_lineal,186759.0,26142.0,186759,26142,212901.0,01/03/16
7,fuencarral,219292.0,17007.0,219292,17007,236299.0,01/03/16
8,hortaleza           ,163163.0,15529.0,163163,15529,178692.0,01/03/16
9,latina              ,203330.0,31149.0,203330,31149,234479.0,01/03/16
10,moncloa,105448.0,11441.0,105448,11441,116889.0,01/03/16
11,moratalaz           ,87280.0,7418.0,87280,7418,94698.0,01/03/16
12,puente_vallecas,194290.0,33371.0,194290,33371,227661.0,01/03/16
13,retiro              ,110882.0,8010.0,110882,8010,118892.0,01/03/16
14,salamanca           ,127245.0,16483.0,127245,16483,143728.0,01/03/16
15,san:blas,138623.0,15236.0,138623,15236,153859.0,01/03/16
16,tetuan              ,127041.0,26072.0,127041,26072,153113.0,01/03/16
17,usera               ,109634.0,24791.0,109634,24791,134425.0,01/03/16
18,vicalvaro           ,62047.0,7815.0,62047,7815,69862.0,01/03/16
19,villaverde          ,118633.0,23247.0,118633,23247,141880.0,01/03/16
20,villa_vallecas,91715.0,10977.0,91715,10977,102692.0,01/03/16
21,madrid,2788149.0,387015.0,2788149,387015,3175164.0,01/03/16
0,arganzuela          ,137739.0,14563.0,137739,14563,152302.0,01/04/16
1,barajas             ,42654.0,4013.0,42654,4013,46667.0,01/04/16
2,carabanchel         ,204077.0,39427.0,204077,39427,243504.0,01/04/16
3,centro              ,104898.0,27921.0,104898,27921,132819.0,01/04/16
4,chamartin           ,130630.0,12571.0,130630,12571,143201.0,01/04/16
5,chamberi            ,123673.0,14225.0,123673,14225,137898.0,01/04/16
6,ciudad_lineal,186880.0,26303.0,186880,26303,213183.0,01/04/16
7,fuencarral,219721.0,17168.0,219721,17168,236889.0,01/04/16
8,hortaleza           ,163517.0,15663.0,163517,15663,179180.0,01/04/16
9,latina              ,203424.0,31377.0,203424,31377,234801.0,01/04/16
10,moncloa,105562.0,11483.0,105562,11483,117045.0,01/04/16
11,moratalaz           ,87344.0,7487.0,87344,7487,94831.0,01/04/16
12,puente_vallecas,194486.0,33587.0,194486,33587,228073.0,01/04/16
13,retiro              ,110992.0,8042.0,110992,8042,119034.0,01/04/16
14,salamanca           ,127427.0,16517.0,127427,16517,143944.0,01/04/16
15,san:blas,138767.0,15348.0,138767,15348,154115.0,01/04/16
16,tetuan              ,127358.0,26262.0,127358,26262,153620.0,01/04/16
17,usera               ,109665.0,25024.0,109665,25024,134689.0,01/04/16
18,vicalvaro           ,62122.0,7851.0,62122,7851,69973.0,01/04/16
19,villaverde          ,118869.0,23504.0,118869,23504,142373.0,01/04/16
20,villa_vallecas,91972.0,11052.0,91972,11052,103024.0,01/04/16
21,madrid,2791777.0,389388.0,2791777,389388,3181165.0,01/04/16
0,arganzuela          ,138011.0,14588.0,138011,14588,152599.0,01/05/16
1,barajas             ,42806.0,4040.0,42806,4040,46846.0,01/05/16
2,carabanchel         ,204397.0,39816.0,204397,39816,244213.0,01/05/16
3,centro              ,105057.0,28146.0,105057,28146,133203.0,01/05/16
4,chamartin           ,130849.0,12691.0,130849,12691,143540.0,01/05/16
5,chamberi            ,123921.0,14378.0,123921,14378,138299.0,01/05/16
6,ciudad_lineal,187196.0,26475.0,187196,26475,213671.0,01/05/16
7,fuencarral,220239.0,17404.0,220239,17404,237643.0,01/05/16
8,hortaleza           ,163992.0,15750.0,163992,15750,179742.0,01/05/16
9,latina              ,203687.0,31575.0,203687,31575,235262.0,01/05/16
10,moncloa,105724.0,11560.0,105724,11560,117284.0,01/05/16
11,moratalaz           ,87425.0,7552.0,87425,7552,94977.0,01/05/16
12,puente_vallecas,194805.0,33854.0,194805,33854,228659.0,01/05/16
13,retiro              ,111098.0,8112.0,111098,8112,119210.0,01/05/16
14,salamanca           ,127671.0,16676.0,127671,16676,144347.0,01/05/16
15,san:blas,138983.0,15513.0,138983,15513,154496.0,01/05/16
16,tetuan              ,127659.0,26440.0,127659,26440,154099.0,01/05/16
17,usera               ,109865.0,25359.0,109865,25359,135224.0,01/05/16
18,vicalvaro           ,62195.0,7903.0,62195,7903,70098.0,01/05/16
19,villaverde          ,119035.0,23664.0,119035,23664,142699.0,01/05/16
20,villa_vallecas,92179.0,11134.0,92179,11134,103313.0,01/05/16
21,madrid,2796794.0,392630.0,2796794,392630,3189424.0,01/05/16
0,arganzuela          ,137742.0,14439.0,137742,14439,152181.0,01/06/16
1,barajas             ,42730.0,3986.0,42730,3986,46716.0,01/06/16
2,carabanchel         ,203937.0,39594.0,203937,39594,243531.0,01/06/16
3,centro              ,104511.0,27853.0,104511,27853,132364.0,01/06/16
4,chamartin           ,130476.0,12532.0,130476,12532,143008.0,01/06/16
5,chamberi            ,123442.0,14208.0,123442,14208,137650.0,01/06/16
6,ciudad_lineal,186754.0,26187.0,186754,26187,212941.0,01/06/16
7,fuencarral,220102.0,17355.0,220102,17355,237457.0,01/06/16
8,hortaleza           ,163898.0,15638.0,163898,15638,179536.0,01/06/16
9,latina              ,203279.0,31268.0,203279,31268,234547.0,01/06/16
10,moncloa,105611.0,11413.0,105611,11413,117024.0,01/06/16
11,moratalaz           ,87217.0,7509.0,87217,7509,94726.0,01/06/16
12,puente_vallecas,194182.0,33662.0,194182,33662,227844.0,01/06/16
13,retiro              ,110876.0,8046.0,110876,8046,118922.0,01/06/16
14,salamanca           ,127285.0,16424.0,127285,16424,143709.0,01/06/16
15,san:blas,138752.0,15431.0,138752,15431,154183.0,01/06/16
16,tetuan              ,127328.0,26320.0,127328,26320,153648.0,01/06/16
17,usera               ,109594.0,25299.0,109594,25299,134893.0,01/06/16
18,vicalvaro           ,62275.0,7840.0,62275,7840,70115.0,01/06/16
19,villaverde          ,118777.0,23571.0,118777,23571,142348.0,01/06/16
20,villa_vallecas,92144.0,11088.0,92144,11088,103232.0,01/06/16
21,madrid,2790912.0,389663.0,2790912,389663,3180575.0,01/06/16
0,arganzuela          ,137891.0,14413.0,137891,14413,152304.0,01/07/16
1,barajas             ,42818.0,3980.0,42818,3980,46798.0,01/07/16
2,carabanchel         ,204286.0,39826.0,204286,39826,244112.0,01/07/16
3,centro              ,104657.0,27820.0,104657,27820,132477.0,01/07/16
4,chamartin           ,130662.0,12544.0,130662,12544,143206.0,01/07/16
5,chamberi            ,123547.0,14170.0,123547,14170,137717.0,01/07/16
6,ciudad_lineal,187028.0,26291.0,187028,26291,213319.0,01/07/16
7,fuencarral,220575.0,17430.0,220575,17430,238005.0,01/07/16
8,hortaleza           ,164125.0,15680.0,164125,15680,179805.0,01/07/16
9,latina              ,203468.0,31493.0,203468,31493,234961.0,01/07/16
10,moncloa,105717.0,11417.0,105717,11417,117134.0,01/07/16
11,moratalaz           ,87220.0,7516.0,87220,7516,94736.0,01/07/16
12,puente_vallecas,194327.0,33829.0,194327,33829,228156.0,01/07/16
13,retiro              ,110956.0,8026.0,110956,8026,118982.0,01/07/16
14,salamanca           ,127381.0,16463.0,127381,16463,143844.0,01/07/16
15,san:blas,138928.0,15457.0,138928,15457,154385.0,01/07/16
16,tetuan              ,127580.0,26449.0,127580,26449,154029.0,01/07/16
17,usera               ,109717.0,25485.0,109717,25485,135202.0,01/07/16
18,vicalvaro           ,62336.0,7827.0,62336,7827,70163.0,01/07/16
19,villaverde          ,119019.0,23697.0,119019,23697,142716.0,01/07/16
20,villa_vallecas,92478.0,11162.0,92478,11162,103640.0,01/07/16
21,madrid,2794716.0,390975.0,2794716,390975,3185691.0,01/07/16
0,arganzuela          ,137820.0,14291.0,137820,14291,152111.0,01/08/16
1,barajas             ,42823.0,3948.0,42823,3948,46771.0,01/08/16
2,carabanchel         ,204016.0,39570.0,204016,39570,243586.0,01/08/16
3,centro              ,104274.0,27590.0,104274,27590,131864.0,01/08/16
4,chamartin           ,130540.0,12441.0,130540,12441,142981.0,01/08/16
5,chamberi            ,123447.0,14062.0,123447,14062,137509.0,01/08/16
6,ciudad_lineal,186866.0,26161.0,186866,26161,213027.0,01/08/16
7,fuencarral,220564.0,17409.0,220564,17409,237973.0,01/08/16
8,hortaleza           ,164045.0,15630.0,164045,15630,179675.0,01/08/16
9,latina              ,203177.0,31332.0,203177,31332,234509.0,01/08/16
10,moncloa,105603.0,11325.0,105603,11325,116928.0,01/08/16
11,moratalaz           ,87127.0,7446.0,87127,7446,94573.0,01/08/16
12,puente_vallecas,194009.0,33670.0,194009,33670,227679.0,01/08/16
13,retiro              ,110837.0,7956.0,110837,7956,118793.0,01/08/16
14,salamanca           ,127164.0,16268.0,127164,16268,143432.0,01/08/16
15,san:blas,138791.0,15415.0,138791,15415,154206.0,01/08/16
16,tetuan              ,127389.0,26293.0,127389,26293,153682.0,01/08/16
17,usera               ,109480.0,25334.0,109480,25334,134814.0,01/08/16
18,vicalvaro           ,62335.0,7769.0,62335,7769,70104.0,01/08/16
19,villaverde          ,118781.0,23523.0,118781,23523,142304.0,01/08/16
20,villa_vallecas,92491.0,11081.0,92491,11081,103572.0,01/08/16
21,madrid,2791579.0,388514.0,2791579,388514,3180093.0,01/08/16
0,arganzuela          ,137924.0,14301.0,137924,14301,152225.0,01/09/16
1,barajas             ,42869.0,3991.0,42869,3991,46860.0,01/09/16
2,carabanchel         ,204158.0,39746.0,204158,39746,243904.0,01/09/16
3,centro              ,104502.0,27798.0,104502,27798,132300.0,01/09/16
4,chamartin           ,130768.0,12512.0,130768,12512,143280.0,01/09/16
5,chamberi            ,123506.0,14124.0,123506,14124,137630.0,01/09/16
6,ciudad_lineal,187042.0,26214.0,187042,26214,213256.0,01/09/16
7,fuencarral,220878.0,17490.0,220878,17490,238368.0,01/09/16
8,hortaleza           ,164306.0,15748.0,164306,15748,180054.0,01/09/16
9,latina              ,203264.0,31510.0,203264,31510,234774.0,01/09/16
10,moncloa,105648.0,11388.0,105648,11388,117036.0,01/09/16
11,moratalaz           ,87180.0,7461.0,87180,7461,94641.0,01/09/16
12,puente_vallecas,194219.0,33828.0,194219,33828,228047.0,01/09/16
13,retiro              ,110869.0,7939.0,110869,7939,118808.0,01/09/16
14,salamanca           ,127281.0,16403.0,127281,16403,143684.0,01/09/16
15,san:blas,138892.0,15468.0,138892,15468,154360.0,01/09/16
16,tetuan              ,127570.0,26388.0,127570,26388,153958.0,01/09/16
17,usera               ,109576.0,25445.0,109576,25445,135021.0,01/09/16
18,vicalvaro           ,62378.0,7792.0,62378,7792,70170.0,01/09/16
19,villaverde          ,118938.0,23631.0,118938,23631,142569.0,01/09/16
20,villa_vallecas,92662.0,11166.0,92662,11166,103828.0,01/09/16
21,madrid,2794430.0,390343.0,2794430,390343,3184773.0,01/09/16
0,arganzuela          ,137646.0,14169.0,137646,14169,151815.0,01/10/16
1,barajas             ,42853.0,3997.0,42853,3997,46850.0,01/10/16
2,carabanchel         ,203602.0,39556.0,203602,39556,243158.0,01/10/16
3,centro              ,104173.0,27629.0,104173,27629,131802.0,01/10/16
4,chamartin           ,130739.0,12491.0,130739,12491,143230.0,01/10/16
5,chamberi            ,123340.0,14048.0,123340,14048,137388.0,01/10/16
6,ciudad_lineal,186692.0,26091.0,186692,26091,212783.0,01/10/16
7,fuencarral,220890.0,17520.0,220890,17520,238410.0,01/10/16
8,hortaleza           ,164157.0,15756.0,164157,15756,179913.0,01/10/16
9,latina              ,202857.0,31210.0,202857,31210,234067.0,01/10/16
10,moncloa,105509.0,11340.0,105509,11340,116849.0,01/10/16
11,moratalaz           ,87011.0,7392.0,87011,7392,94403.0,01/10/16
12,puente_vallecas,193858.0,33674.0,193858,33674,227532.0,01/10/16
13,retiro              ,110750.0,7910.0,110750,7910,118660.0,01/10/16
14,salamanca           ,126967.0,16619.0,126967,16619,143586.0,01/10/16
15,san:blas,138844.0,15466.0,138844,15466,154310.0,01/10/16
16,tetuan              ,127187.0,26165.0,127187,26165,153352.0,01/10/16
17,usera               ,109309.0,25197.0,109309,25197,134506.0,01/10/16
18,vicalvaro           ,62286.0,7689.0,62286,7689,69975.0,01/10/16
19,villaverde          ,118841.0,23493.0,118841,23493,142334.0,01/10/16
20,villa_vallecas,92838.0,11078.0,92838,11078,103916.0,01/10/16
21,madrid,2790349.0,388490.0,2790349,388490,3178839.0,01/10/16
0,arganzuela          ,137809.0,14311.0,137809,14311,152120.0,01/11/16
1,barajas             ,42905.0,4029.0,42905,4029,46934.0,01/11/16
2,carabanchel         ,203712.0,40152.0,203712,40152,243864.0,01/11/16
3,centro              ,104181.0,28130.0,104181,28130,132311.0,01/11/16
4,chamartin           ,130865.0,12710.0,130865,12710,143575.0,01/11/16
5,chamberi            ,123298.0,14304.0,123298,14304,137602.0,01/11/16
6,ciudad_lineal,186611.0,26359.0,186611,26359,212970.0,01/11/16
7,fuencarral,221023.0,17699.0,221023,17699,238722.0,01/11/16
8,hortaleza           ,164394.0,15992.0,164394,15992,180386.0,01/11/16
9,latina              ,202830.0,31591.0,202830,31591,234421.0,01/11/16
10,moncloa,105584.0,11636.0,105584,11636,117220.0,01/11/16
11,moratalaz           ,87012.0,7463.0,87012,7463,94475.0,01/11/16
12,puente_vallecas,193873.0,34081.0,193873,34081,227954.0,01/11/16
13,retiro              ,110821.0,8013.0,110821,8013,118834.0,01/11/16
14,salamanca           ,127025.0,17059.0,127025,17059,144084.0,01/11/16
15,san:blas,138873.0,15668.0,138873,15668,154541.0,01/11/16
16,tetuan              ,127252.0,26437.0,127252,26437,153689.0,01/11/16
17,usera               ,109261.0,25638.0,109261,25638,134899.0,01/11/16
18,vicalvaro           ,62288.0,7788.0,62288,7788,70076.0,01/11/16
19,villaverde          ,118926.0,23748.0,118926,23748,142674.0,01/11/16
20,villa_vallecas,93001.0,11209.0,93001,11209,104210.0,01/11/16
