,distrito,Nacionales,Extranjeros,nacionales,extranjeros,total,mes
21,madrid,2761343.0,410083.0,2761343,410083,3171426.0,01/04/14
0,arganzuela          ,135608.0,15865.0,135608,15865,151473.0,01/05/14
1,barajas             ,41416.0,4328.0,41416,4328,45744.0,01/05/14
2,carabanchel         ,202081.0,40625.0,202081,40625,242706.0,01/05/14
3,centro              ,103922.0,29407.0,103922,29407,133329.0,01/05/14
4,chamartin           ,129559.0,13214.0,129559,13214,142773.0,01/05/14
5,chamberi            ,123211.0,15322.0,123211,15322,138533.0,01/05/14
6,ciudad_lineal,186899.0,27165.0,186899,27165,214064.0,01/05/14
7,fuencarral,215732.0,18084.0,215732,18084,233816.0,01/05/14
8,hortaleza           ,157776.0,15896.0,157776,15896,173672.0,01/05/14
9,latina              ,203980.0,33418.0,203980,33418,237398.0,01/05/14
10,moncloa,103903.0,11923.0,103903,11923,115826.0,01/05/14
11,moratalaz           ,88133.0,7851.0,88133,7851,95984.0,01/05/14
12,puente_vallecas,194189.0,34186.0,194189,34186,228375.0,01/05/14
13,retiro              ,110540.0,8322.0,110540,8322,118862.0,01/05/14
14,salamanca           ,127066.0,16438.0,127066,16438,143504.0,01/05/14
15,san:blas,137640.0,15800.0,137640,15800,153440.0,01/05/14
16,tetuan              ,125332.0,27043.0,125332,27043,152375.0,01/05/14
17,usera               ,108879.0,24606.0,108879,24606,133485.0,01/05/14
18,vicalvaro           ,61376.0,8396.0,61376,8396,69772.0,01/05/14
19,villaverde          ,117749.0,24441.0,117749,24441,142190.0,01/05/14
20,villa_vallecas,87738.0,11480.0,87738,11480,99218.0,01/05/14
21,madrid,2762729.0,403810.0,2762729,403810,3166539.0,01/05/14
0,arganzuela          ,135694.0,15578.0,135694,15578,151272.0,01/06/14
1,barajas             ,41497.0,4279.0,41497,4279,45776.0,01/06/14
2,carabanchel         ,202444.0,40127.0,202444,40127,242571.0,01/06/14
3,centro              ,103771.0,28913.0,103771,28913,132684.0,01/06/14
4,chamartin           ,129444.0,13019.0,129444,13019,142463.0,01/06/14
5,chamberi            ,123294.0,15076.0,123294,15076,138370.0,01/06/14
6,ciudad_lineal,187069.0,26887.0,187069,26887,213956.0,01/06/14
7,fuencarral,215845.0,17881.0,215845,17881,233726.0,01/06/14
8,hortaleza           ,158091.0,15731.0,158091,15731,173822.0,01/06/14
9,latina              ,204022.0,33044.0,204022,33044,237066.0,01/06/14
10,moncloa,104048.0,11813.0,104048,11813,115861.0,01/06/14
11,moratalaz           ,88126.0,7659.0,88126,7659,95785.0,01/06/14
12,puente_vallecas,194405.0,33821.0,194405,33821,228226.0,01/06/14
13,retiro              ,110596.0,8203.0,110596,8203,118799.0,01/06/14
14,salamanca           ,127016.0,16244.0,127016,16244,143260.0,01/06/14
15,san:blas,137707.0,15656.0,137707,15656,153363.0,01/06/14
16,tetuan              ,125336.0,26758.0,125336,26758,152094.0,01/06/14
17,usera               ,109031.0,24420.0,109031,24420,133451.0,01/06/14
18,vicalvaro           ,61494.0,8295.0,61494,8295,69789.0,01/06/14
19,villaverde          ,117921.0,24169.0,117921,24169,142090.0,01/06/14
20,villa_vallecas,87902.0,11373.0,87902,11373,99275.0,01/06/14
21,madrid,2764753.0,398946.0,2764753,398946,3163699.0,01/06/14
0,arganzuela          ,135813.0,15333.0,135813,15333,151146.0,01/07/14
1,barajas             ,41527.0,4231.0,41527,4231,45758.0,01/07/14
2,carabanchel         ,202694.0,39672.0,202694,39672,242366.0,01/07/14
3,centro              ,103778.0,28578.0,103778,28578,132356.0,01/07/14
4,chamartin           ,129502.0,12788.0,129502,12788,142290.0,01/07/14
5,chamberi            ,123260.0,14887.0,123260,14887,138147.0,01/07/14
6,ciudad_lineal,187132.0,26710.0,187132,26710,213842.0,01/07/14
7,fuencarral,216061.0,17683.0,216061,17683,233744.0,01/07/14
8,hortaleza           ,158251.0,15615.0,158251,15615,173866.0,01/07/14
9,latina              ,204102.0,32696.0,204102,32696,236798.0,01/07/14
10,moncloa,104080.0,11639.0,104080,11639,115719.0,01/07/14
11,moratalaz           ,88105.0,7623.0,88105,7623,95728.0,01/07/14
12,puente_vallecas,194363.0,33576.0,194363,33576,227939.0,01/07/14
13,retiro              ,110580.0,8105.0,110580,8105,118685.0,01/07/14
14,salamanca           ,127022.0,16071.0,127022,16071,143093.0,01/07/14
15,san:blas,137715.0,15525.0,137715,15525,153240.0,01/07/14
16,tetuan              ,125421.0,26500.0,125421,26500,151921.0,01/07/14
17,usera               ,108995.0,24372.0,108995,24372,133367.0,01/07/14
