Mes,GLOBAL_precio_m2,GLOBAL_var_mensual,GLOBAL_var_trimest,GLOBAL_var_anual,ARGANZUELA_precio_m2,ARGANZUELA_var_mensual,ARGANZUELA_var_trimest,ARGANZUELA_var_anual,BARAJAS_precio_m2,BARAJAS_var_mensual,BARAJAS_var_trimest,BARAJAS_var_anual,CARABANCHEL_precio_m2,CARABANCHEL_var_mensual,CARABANCHEL_var_trimest,CARABANCHEL_var_anual,CENTRO_precio_m2,CENTRO_var_mensual,CENTRO_var_trimest,CENTRO_var_anual,CHAMARTIN_precio_m2,CHAMARTIN_var_mensual,CHAMARTIN_var_trimest,CHAMARTIN_var_anual,CHAMBERI_precio_m2,CHAMBERI_var_mensual,CHAMBERI_var_trimest,CHAMBERI_var_anual,CIUDAD_LINEAL_precio_m2,CIUDAD_LINEAL_var_mensual,CIUDAD_LINEAL_var_trimest,CIUDAD_LINEAL_var_anual,FUENCARRAL_precio_m2,FUENCARRAL_var_mensual,FUENCARRAL_var_trimest,FUENCARRAL_var_anual,HORTALEZA_precio_m2,HORTALEZA_var_mensual,HORTALEZA_var_trimest,HORTALEZA_var_anual,LATINA_precio_m2,LATINA_var_mensual,LATINA_var_trimest,LATINA_var_anual,MONCLOA_precio_m2,MONCLOA_var_mensual,MONCLOA_var_trimest,MONCLOA_var_anual,MORATALAZ_precio_m2,MORATALAZ_var_mensual,MORATALAZ_var_trimest,MORATALAZ_var_anual,PUENTE_VALLECAS_precio_m2,PUENTE_VALLECAS_var_mensual,PUENTE_VALLECAS_var_trimest,PUENTE_VALLECAS_var_anual,RETIRO_precio_m2,RETIRO_var_mensual,RETIRO_var_trimest,RETIRO_var_anual,SALAMANCA_precio_m2,SALAMANCA_var_mensual,SALAMANCA_var_trimest,SALAMANCA_var_anual,SAN_BLAS_precio_m2,SAN_BLAS_var_mensual,SAN_BLAS_var_trimest,SAN_BLAS_var_anual,TETUAN_precio_m2,TETUAN_var_mensual,TETUAN_var_trimest,TETUAN_var_anual,USERA_precio_m2,USERA_var_mensual,USERA_var_trimest,USERA_var_anual,VICALVARO_precio_m2,VICALVARO_var_mensual,VICALVARO_var_trimest,VICALVARO_var_anual,VILLA_VALLECAS_precio_m2,VILLA_VALLECAS_var_mensual,VILLA_VALLECAS_var_trimest,VILLA_VALLECAS_var_anual,VILLAVERDE_precio_m2,VILLAVERDE_var_mensual,VILLAVERDE_var_trimest,VILLAVERDE_var_anual
01/03/16,"12,2 €/m2","0,60 %","1,90 %","5,40 %","12,2 €/m2","-0,30 %","1,40 %","6,40 %","9,9 €/m2","0,90 %","1,90 %","4,40 %","8,9 €/m2","-0,50 %","0,90 %","3,80 %","15,1 €/m2","0,90 %","4,10 %","10,10 %","13,2 €/m2","0,00 %","1,30 %","5,20 %","14,8 €/m2","1,60 %","4,60 %","6,80 %","10,7 €/m2","0,90 %","3,00 %","5,20 %","10,5 €/m2","1,40 %","1,30 %","4,00 %","10,6 €/m2","-0,60 %","0,20 %","1,00 %","8,9 €/m2","1,50 %","3,00 %","5,40 %","11,8 €/m2","0,40 %","-2,20 %","3,40 %","8,8 €/m2","0,60 %","0,60 %","2,40 %","8,7 €/m2","0,30 %","-0,90 %","5,20 %","12,7 €/m2","0,00 %","-0,70 %","5,30 %","15,0 €/m2","0,00 %","0,40 %","7,20 %","9,5 €/m2","0,40 %","1,90 %","1,70 %","12,2 €/m2","-0,20 %","0,60 %","6,30 %","9,0 €/m2","-0,80 %","-0,30 %","7,70 %","8,7 €/m2","-0,40 %","0,60 %","4,70 %","9,2 €/m2","-1,30 %","0,20 %","4,00 %","8,0 €/m2","-1,00 %","0,00 %","2,90 %"
01/02/16,"12,1 €/m2","0,40 %","0,70 %","5,30 %","12,2 €/m2","1,00 %","2,20 %","6,90 %","9,9 €/m2","-1,50 %","1,00 %","4,00 %","8,9 €/m2","0,60 %","1,10 %","4,70 %","15,0 €/m2","0,00 %","3,80 %","9,10 %","13,2 €/m2","0,60 %","2,00 %","4,50 %","14,5 €/m2","0,80 %","3,10 %","5,90 %","10,6 €/m2","1,80 %","2,40 %","4,20 %","10,4 €/m2","0,30 %","0,20 %","2,20 %","10,6 €/m2","0,20 %","0,70 %","2,80 %","8,8 €/m2","0,60 %","1,10 %","4,00 %","11,7 €/m2","-1,40 %","-3,70 %","3,90 %","8,8 €/m2","0,40 %","1,50 %","2,00 %","8,6 €/m2","-0,90 %","-0,80 %","4,40 %","12,7 €/m2","-0,80 %","1,50 %","5,90 %","15,0 €/m2","0,00 %","1,60 %","7,10 %","9,5 €/m2","1,00 %","1,40 %","2,10 %","12,2 €/m2","0,40 %","3,10 %","7,80 %","9,0 €/m2","0,50 %","1,90 %","8,50 %","8,8 €/m2","2,60 %","1,00 %","5,00 %","9,3 €/m2","0,10 %","2,60 %","6,30 %","8,1 €/m2","0,20 %","4,50 %","5,00 %"
01/01/16,"12,1 €/m2","0,90 %","0,20 %","5,60 %","12,1 €/m2","0,80 %","3,80 %","6,50 %","10,0 €/m2","2,50 %","2,60 %","5,50 %","8,9 €/m2","0,80 %","0,70 %","4,40 %","15,0 €/m2","3,10 %","5,00 %","8,90 %","13,1 €/m2","0,70 %","2,90 %","3,90 %","14,4 €/m2","2,10 %","4,60 %","5,60 %","10,4 €/m2","0,20 %","1,10 %","4,00 %","10,3 €/m2","-0,40 %","-0,30 %","1,80 %","10,6 €/m2","0,60 %","0,80 %","3,20 %","8,7 €/m2","0,90 %","0,30 %","3,40 %","11,9 €/m2","-1,20 %","-2,30 %","5,90 %","8,7 €/m2","-0,30 %","2,70 %","3,50 %","8,7 €/m2","-0,30 %","1,70 %","4,60 %","12,8 €/m2","0,10 %","2,30 %","6,80 %","15,0 €/m2","0,40 %","1,70 %","7,20 %","9,4 €/m2","0,60 %","-0,80 %","0,20 %","12,2 €/m2","0,50 %","3,00 %","7,40 %","9,0 €/m2","-0,10 %","3,80 %","8,00 %","8,5 €/m2","-1,60 %","-0,90 %","3,80 %","9,3 €/m2","1,50 %","3,40 %","6,80 %","8,1 €/m2","0,80 %","3,30 %","4,90 %"
01/12/15,"12,0 €/m2","-0,60 %","-0,30 %","4,60 %","12,0 €/m2","0,50 %","4,10 %","6,80 %","9,7 €/m2","0,00 %","1,90 %","3,40 %","8,8 €/m2","-0,30 %","0,00 %","3,80 %","14,5 €/m2","0,70 %","2,60 %","6,40 %","13,0 €/m2","0,70 %","3,00 %","3,20 %","14,1 €/m2","0,20 %","2,90 %","2,90 %","10,4 €/m2","0,40 %","1,40 %","3,80 %","10,4 €/m2","0,40 %","1,10 %","3,30 %","10,6 €/m2","-0,10 %","-0,10 %","2,20 %","8,7 €/m2","-0,30 %","0,00 %","2,50 %","12,0 €/m2","-1,20 %","-0,50 %","6,70 %","8,8 €/m2","1,40 %","2,10 %","6,60 %","8,7 €/m2","0,40 %","3,40 %","4,90 %","12,8 €/m2","2,20 %","4,60 %","6,60 %","14,9 €/m2","1,20 %","2,80 %","7,10 %","9,4 €/m2","-0,10 %","-0,50 %","0,60 %","12,1 €/m2","2,30 %","3,80 %","6,40 %","9,0 €/m2","1,50 %","3,80 %","7,10 %","8,7 €/m2","0,00 %","2,80 %","10,10 %","9,2 €/m2","1,10 %","1,80 %","5,80 %","8,0 €/m2","3,50 %","4,30 %","4,70 %"
01/11/15,"12,1 €/m2","-0,10 %","1,10 %","5,20 %","12,0 €/m2","2,50 %","3,60 %","8,00 %","9,8 €/m2","0,10 %","3,60 %","3,20 %","8,8 €/m2","0,10 %","1,50 %","4,50 %","14,4 €/m2","1,10 %","2,90 %","5,90 %","12,9 €/m2","1,50 %","3,00 %","3,50 %","14,1 €/m2","2,30 %","2,70 %","4,00 %","10,4 €/m2","0,50 %","0,60 %","3,30 %","10,3 €/m2","-0,20 %","1,40 %","5,40 %","10,6 €/m2","0,30 %","-0,50 %","2,90 %","8,7 €/m2","-0,20 %","0,40 %","1,50 %","12,2 €/m2","0,00 %","1,40 %","6,70 %","8,6 €/m2","1,60 %","0,70 %","4,90 %","8,7 €/m2","1,60 %","1,70 %","4,30 %","12,5 €/m2","0,00 %","3,10 %","4,30 %","14,8 €/m2","0,10 %","2,90 %","5,50 %","9,4 €/m2","-1,30 %","-0,40 %","1,50 %","11,9 €/m2","0,30 %","1,50 %","4,20 %","8,9 €/m2","2,40 %","3,20 %","5,10 %","8,7 €/m2","0,60 %","2,60 %","10,30 %","9,1 €/m2","0,80 %","1,30 %","3,80 %","7,7 €/m2","-1,00 %","0,50 %","3,10 %"
01/10/15,"12,1 €/m2","0,30 %","2,20 %","5,50 %","11,7 €/m2","1,10 %","1,10 %","5,70 %","9,7 €/m2","1,90 %","2,90 %","4,20 %","8,8 €/m2","0,10 %","1,80 %","4,80 %","14,3 €/m2","0,80 %","2,90 %","4,80 %","12,7 €/m2","0,80 %","0,70 %","3,00 %","13,8 €/m2","0,40 %","0,40 %","2,30 %","10,3 €/m2","0,50 %","-0,60 %","2,80 %","10,4 €/m2","0,90 %","1,30 %","5,50 %","10,5 €/m2","-0,30 %","-0,90 %","2,50 %","8,7 €/m2","0,60 %","1,70 %","1,70 %","12,2 €/m2","0,60 %","3,50 %","6,10 %","8,5 €/m2","-0,90 %","-0,30 %","3,10 %","8,6 €/m2","1,40 %","-0,30 %","2,90 %","12,5 €/m2","2,30 %","3,00 %","5,30 %","14,7 €/m2","1,50 %","4,10 %","6,20 %","9,5 €/m2","0,90 %","1,40 %","3,00 %","11,8 €/m2","1,20 %","1,60 %","4,40 %","8,7 €/m2","0,00 %","1,90 %","3,90 %","8,6 €/m2","2,10 %","3,20 %","7,60 %","9,0 €/m2","-0,10 %","0,50 %","1,90 %","7,8 €/m2","1,80 %","1,50 %","4,20 %"
01/09/15,"12,0 €/m2","0,90 %","2,50 %","5,50 %","11,5 €/m2","0,00 %","-0,50 %","4,90 %","9,6 €/m2","1,60 %","-0,50 %","1,40 %","8,8 €/m2","1,30 %","2,20 %","5,90 %","14,2 €/m2","1,00 %","2,30 %","4,70 %","12,6 €/m2","0,80 %","1,20 %","2,70 %","13,7 €/m2","0,00 %","0,00 %","3,10 %","10,3 €/m2","-0,50 %","-1,10 %","2,30 %","10,3 €/m2","0,70 %","0,40 %","4,50 %","10,6 €/m2","-0,50 %","-0,60 %","3,60 %","8,7 €/m2","0,00 %","2,50 %","2,00 %","12,1 €/m2","0,80 %","5,10 %","6,20 %","8,6 €/m2","0,00 %","1,00 %","3,90 %","8,4 €/m2","-1,30 %","0,00 %","2,70 %","12,2 €/m2","0,70 %","0,00 %","3,40 %","14,5 €/m2","1,30 %","3,10 %","5,20 %","9,4 €/m2","0,00 %","0,70 %","2,00 %","11,7 €/m2","0,00 %","0,70 %","2,90 %","8,7 €/m2","0,80 %","1,40 %","3,90 %","8,4 €/m2","-0,20 %","1,20 %","3,80 %","9,0 €/m2","0,60 %","1,60 %","0,50 %","7,7 €/m2","-0,20 %","-0,30 %","2,40 %"
01/08/15,"11,9 €/m2","1,00 %","2,10 %","5,20 %","11,5 €/m2","0,00 %","-0,50 %","4,90 %","9,4 €/m2","-0,50 %","-2,90 %","-2,30 %","8,7 €/m2","0,40 %","0,90 %","4,70 %","14,0 €/m2","1,00 %","1,00 %","5,20 %","12,5 €/m2","-0,90 %","0,30 %","1,90 %","13,7 €/m2","0,00 %","0,00 %","3,10 %","10,3 €/m2","-0,70 %","-0,10 %","2,80 %","10,2 €/m2","-0,30 %","-0,90 %","3,80 %","10,6 €/m2","-0,10 %","0,00 %","3,20 %","8,7 €/m2","1,10 %","3,70 %","2,40 %","12,0 €/m2","2,10 %","4,60 %","5,70 %","8,6 €/m2","0,60 %","-1,30 %","3,10 %","8,6 €/m2","-0,40 %","1,30 %","3,40 %","12,1 €/m2","-0,10 %","0,20 %","2,70 %","14,3 €/m2","1,30 %","1,80 %","5,20 %","9,4 €/m2","0,50 %","0,30 %","4,10 %","11,7 €/m2","0,40 %","1,40 %","3,50 %","8,6 €/m2","1,10 %","0,60 %","4,60 %","8,5 €/m2","1,20 %","1,50 %","1,40 %","8,9 €/m2","0,00 %","1,80 %","1,10 %","7,7 €/m2","-0,10 %","-0,80 %","3,70 %"
01/07/15,"11,8 €/m2","0,60 %","1,90 %","4,60 %","11,5 €/m2","-0,50 %","-0,20 %","4,90 %","9,5 €/m2","-1,50 %","-2,70 %","0,10 %","8,7 €/m2","0,50 %","1,20 %","4,10 %","13,9 €/m2","0,30 %","0,30 %","4,20 %","12,6 €/m2","1,20 %","1,10 %","2,80 %","13,7 €/m2","0,00 %","-0,40 %","3,00 %","10,4 €/m2","0,00 %","0,20 %","3,60 %","10,2 €/m2","0,00 %","0,50 %","2,60 %","10,6 €/m2","0,00 %","1,20 %","3,50 %","8,6 €/m2","1,30 %","1,60 %","1,40 %","11,7 €/m2","2,10 %","1,70 %","3,50 %","8,5 €/m2","0,30 %","-3,70 %","2,30 %","8,6 €/m2","1,70 %","3,20 %","3,10 %","12,1 €/m2","-0,70 %","0,20 %","3,40 %","14,2 €/m2","0,50 %","1,20 %","3,00 %","9,4 €/m2","0,20 %","0,00 %","2,60 %","11,7 €/m2","0,30 %","1,30 %","3,60 %","8,5 €/m2","-0,50 %","0,50 %","3,20 %","8,3 €/m2","0,20 %","0,20 %","0,10 %","8,9 €/m2","1,00 %","1,20 %","1,00 %","7,7 €/m2","0,00 %","-1,20 %","3,80 %"
01/06/15,"11,7 €/m2","0,60 %","1,30 %","4,30 %","11,6 €/m2","0,00 %","1,30 %","5,40 %","9,6 €/m2","-0,80 %","1,00 %","1,30 %","8,6 €/m2","0,00 %","0,60 %","2,40 %","13,8 €/m2","-0,30 %","0,70 %","3,80 %","12,5 €/m2","-0,10 %","-0,20 %","1,40 %","13,7 €/m2","-0,10 %","-0,70 %","3,10 %","10,4 €/m2","0,60 %","1,90 %","3,60 %","10,2 €/m2","-0,60 %","1,20 %","3,00 %","10,6 €/m2","0,00 %","1,50 %","4,00 %","8,5 €/m2","1,20 %","-0,10 %","1,20 %","11,5 €/m2","0,30 %","1,10 %","3,50 %","8,5 €/m2","-2,20 %","-1,30 %","1,20 %","8,4 €/m2","0,00 %","2,70 %","1,40 %","12,2 €/m2","0,90 %","1,40 %","4,70 %","14,1 €/m2","0,00 %","0,70 %","2,50 %","9,3 €/m2","-0,40 %","-0,40 %","1,10 %","11,6 €/m2","0,70 %","1,10 %","3,40 %","8,5 €/m2","0,00 %","2,60 %","3,60 %","8,3 €/m2","0,10 %","0,10 %","0,00 %","8,9 €/m2","0,80 %","0,30 %","0,10 %","7,7 €/m2","-0,80 %","-1,00 %","3,70 %"
01/05/15,"11,7 €/m2","0,70 %","1,30 %","4,10 %","11,6 €/m2","0,30 %","1,40 %","4,30 %","9,7 €/m2","-0,30 %","2,30 %","-0,70 %","8,6 €/m2","0,70 %","1,10 %","2,10 %","13,9 €/m2","0,30 %","1,00 %","3,70 %","12,5 €/m2","0,00 %","-0,90 %","1,60 %","13,7 €/m2","-0,30 %","0,10 %","4,10 %","10,3 €/m2","-0,30 %","1,30 %","3,10 %","10,3 €/m2","1,00 %","1,50 %","4,60 %","10,6 €/m2","1,10 %","2,60 %","3,80 %","8,4 €/m2","-0,90 %","-1,20 %","0,10 %","11,5 €/m2","-0,70 %","1,70 %","3,20 %","8,7 €/m2","-1,80 %","1,10 %","4,40 %","8,4 €/m2","1,50 %","2,20 %","1,40 %","12,1 €/m2","-0,10 %","1,00 %","4,10 %","14,1 €/m2","0,60 %","0,60 %","2,40 %","9,4 €/m2","0,10 %","0,70 %","0,60 %","11,5 €/m2","0,20 %","1,60 %","2,80 %","8,5 €/m2","1,00 %","2,50 %","2,80 %","8,3 €/m2","0,00 %","-0,10 %","1,90 %","8,8 €/m2","-0,60 %","0,40 %","-1,00 %","7,8 €/m2","-0,50 %","0,80 %","3,50 %"
01/04/15,"11,6 €/m2","0,00 %","1,20 %","3,60 %","11,6 €/m2","1,00 %","1,80 %","4,10 %","9,7 €/m2","2,20 %","2,70 %","-0,60 %","8,6 €/m2","0,00 %","0,70 %","2,00 %","13,8 €/m2","0,70 %","0,60 %","3,80 %","12,5 €/m2","-0,10 %","-0,90 %","1,60 %","13,8 €/m2","-0,40 %","0,90 %","4,60 %","10,3 €/m2","1,60 %","3,20 %","3,40 %","10,2 €/m2","0,80 %","0,30 %","2,50 %","10,5 €/m2","0,30 %","2,20 %","2,20 %","8,4 €/m2","-0,40 %","-0,30 %","-0,20 %","11,5 €/m2","1,50 %","2,90 %","3,90 %","8,9 €/m2","2,80 %","5,00 %","8,30 %","8,3 €/m2","1,20 %","0,00 %","0,00 %","12,1 €/m2","0,50 %","1,10 %","4,40 %","14,0 €/m2","0,00 %","0,00 %","2,60 %","9,4 €/m2","-0,20 %","-0,30 %","1,40 %","11,5 €/m2","0,20 %","1,30 %","2,40 %","8,5 €/m2","1,60 %","1,70 %","2,90 %","8,3 €/m2","0,00 %","1,40 %","3,10 %","8,8 €/m2","0,10 %","1,60 %","-1,20 %","7,8 €/m2","0,20 %","1,30 %","1,80 %"
01/03/15,"11,6 €/m2","0,50 %","1,10 %","3,80 %","11,4 €/m2","0,20 %","1,70 %","3,70 %","9,5 €/m2","0,50 %","0,90 %","-2,40 %","8,6 €/m2","0,40 %","0,90 %","1,60 %","13,8 €/m2","0,00 %","0,60 %","3,10 %","12,5 €/m2","-0,80 %","-0,70 %","1,80 %","13,8 €/m2","0,70 %","0,70 %","5,00 %","10,2 €/m2","0,00 %","1,60 %","1,90 %","10,1 €/m2","-0,30 %","0,50 %","1,30 %","10,5 €/m2","1,20 %","1,40 %","1,10 %","8,5 €/m2","0,10 %","0,00 %","0,40 %","11,4 €/m2","0,90 %","0,90 %","3,80 %","8,6 €/m2","0,20 %","4,80 %","6,10 %","8,2 €/m2","-0,50 %","-1,20 %","-1,20 %","12,1 €/m2","0,60 %","0,60 %","3,30 %","14,0 €/m2","0,00 %","0,30 %","2,60 %","9,4 €/m2","0,70 %","0,80 %","1,10 %","11,5 €/m2","1,20 %","0,60 %","3,50 %","8,3 €/m2","0,00 %","-0,80 %","1,20 %","8,3 €/m2","-0,10 %","5,70 %","3,10 %","8,8 €/m2","0,90 %","2,00 %","-1,80 %","7,8 €/m2","1,00 %","1,70 %","1,10 %"
01/02/15,"11,5 €/m2","0,60 %","0,60 %","3,20 %","11,4 €/m2","0,60 %","3,20 %","4,00 %","9,5 €/m2","0,10 %","0,20 %","-2,60 %","8,5 €/m2","0,30 %","0,90 %","1,00 %","13,8 €/m2","-0,10 %","0,80 %","3,10 %","12,6 €/m2","0,00 %","1,10 %","2,70 %","13,7 €/m2","0,50 %","1,30 %","4,70 %","10,2 €/m2","1,50 %","1,50 %","1,80 %","10,1 €/m2","-0,10 %","3,40 %","3,20 %","10,4 €/m2","0,70 %","0,80 %","-0,20 %","8,5 €/m2","0,00 %","-1,30 %","0,20 %","11,3 €/m2","0,50 %","-1,10 %","3,90 %","8,6 €/m2","2,00 %","4,40 %","7,70 %","8,3 €/m2","-0,70 %","-0,90 %","-0,70 %","12,0 €/m2","0,00 %","0,00 %","2,70 %","14,0 €/m2","0,10 %","0,00 %","2,70 %","9,3 €/m2","-0,80 %","0,90 %","0,00 %","11,4 €/m2","0,00 %","-0,40 %","2,10 %","8,3 €/m2","0,10 %","-1,30 %","-0,10 %","8,3 €/m2","1,40 %","6,10 %","1,90 %","8,8 €/m2","0,50 %","0,20 %","-2,70 %","7,7 €/m2","0,10 %","2,70 %","-0,80 %"
01/01/15,"11,5 €/m2","0,00 %","0,10 %","3,00 %","11,4 €/m2","1,00 %","3,00 %","4,30 %","9,5 €/m2","0,40 %","1,20 %","-1,10 %","8,5 €/m2","0,10 %","1,00 %","0,20 %","13,8 €/m2","0,70 %","1,00 %","3,80 %","12,6 €/m2","0,10 %","2,10 %","3,20 %","13,7 €/m2","-0,50 %","1,40 %","3,40 %","10,0 €/m2","0,00 %","0,00 %","0,30 %","10,2 €/m2","1,00 %","3,30 %","3,40 %","10,3 €/m2","-0,40 %","0,10 %","-0,10 %","8,5 €/m2","0,00 %","-1,30 %","0,30 %","11,2 €/m2","-0,50 %","-2,10 %","3,80 %","8,4 €/m2","2,60 %","2,30 %","5,50 %","8,3 €/m2","0,00 %","0,10 %","-0,80 %","12,0 €/m2","-0,10 %","0,90 %","2,00 %","14,0 €/m2","0,30 %","0,80 %","3,40 %","9,4 €/m2","0,90 %","2,00 %","2,10 %","11,4 €/m2","-0,50 %","0,10 %","0,90 %","8,3 €/m2","-0,90 %","-0,20 %","-0,10 %","8,2 €/m2","4,30 %","2,70 %","2,60 %","8,7 €/m2","0,60 %","-1,40 %","-1,50 %","7,7 €/m2","0,60 %","2,60 %","0,50 %"
01/12/14,"11,5 €/m2","0,00 %","0,50 %","3,30 %","11,3 €/m2","1,60 %","2,30 %","3,20 %","9,4 €/m2","-0,20 %","0,00 %","-1,80 %","8,5 €/m2","0,50 %","2,00 %","-1,30 %","13,7 €/m2","0,20 %","1,00 %","3,10 %","12,6 €/m2","1,00 %","2,50 %","3,90 %","13,7 €/m2","1,30 %","3,10 %","3,10 %","10,0 €/m2","-0,10 %","0,00 %","0,30 %","10,1 €/m2","2,50 %","2,30 %","2,40 %","10,3 €/m2","0,50 %","1,30 %","1,40 %","8,5 €/m2","-1,30 %","-0,50 %","0,00 %","11,3 €/m2","-1,20 %","-0,90 %","5,00 %","8,2 €/m2","-0,20 %","-0,50 %","1,60 %","8,3 €/m2","-0,20 %","1,20 %","-1,00 %","12,0 €/m2","0,00 %","1,40 %","2,10 %","13,9 €/m2","-0,30 %","1,00 %","3,20 %","9,3 €/m2","0,80 %","0,80 %","1,70 %","11,4 €/m2","0,20 %","0,40 %","1,90 %","8,4 €/m2","-0,40 %","0,80 %","2,10 %","7,9 €/m2","0,20 %","-3,10 %","0,80 %","8,7 €/m2","-0,90 %","-3,30 %","0,50 %","7,6 €/m2","1,90 %","2,00 %","0,10 %"
01/11/14,"11,5 €/m2","0,10 %","1,10 %","2,60 %","11,1 €/m2","0,30 %","0,70 %","0,00 %","9,5 €/m2","1,00 %","-1,90 %","-2,60 %","8,5 €/m2","0,40 %","1,80 %","-3,30 %","13,6 €/m2","0,00 %","2,30 %","2,30 %","12,5 €/m2","1,00 %","1,50 %","3,00 %","13,6 €/m2","0,60 %","1,70 %","1,80 %","10,0 €/m2","0,10 %","0,10 %","0,30 %","9,8 €/m2","-0,20 %","-0,20 %","-2,20 %","10,3 €/m2","-0,10 %","-0,10 %","0,50 %","8,6 €/m2","0,00 %","1,30 %","-0,50 %","11,4 €/m2","-0,50 %","0,50 %","4,80 %","8,2 €/m2","-0,10 %","-1,00 %","1,40 %","8,3 €/m2","0,20 %","0,80 %","-2,10 %","12,0 €/m2","1,00 %","1,50 %","2,30 %","14,0 €/m2","0,80 %","2,60 %","3,40 %","9,2 €/m2","0,20 %","2,10 %","0,80 %","11,4 €/m2","0,50 %","0,90 %","1,10 %","8,4 €/m2","1,20 %","2,70 %","1,10 %","7,9 €/m2","-1,80 %","-5,70 %","-1,40 %","8,7 €/m2","-1,00 %","-1,30 %","0,70 %","7,5 €/m2","0,00 %","1,10 %","-2,60 %"
01/10/14,"11,4 €/m2","0,30 %","1,30 %","1,60 %","11,0 €/m2","0,30 %","0,30 %","0,30 %","9,4 €/m2","-0,80 %","-1,10 %","-4,00 %","8,4 €/m2","1,10 %","1,10 %","-4,50 %","13,6 €/m2","0,80 %","2,30 %","2,30 %","12,4 €/m2","0,50 %","0,50 %","1,60 %","13,5 €/m2","1,10 %","1,10 %","1,10 %","10,0 €/m2","0,00 %","0,10 %","0,20 %","9,8 €/m2","0,00 %","-1,50 %","-2,70 %","10,3 €/m2","0,80 %","0,10 %","0,50 %","8,6 €/m2","0,80 %","1,40 %","-1,20 %","11,5 €/m2","0,70 %","1,00 %","4,10 %","8,3 €/m2","-0,20 %","-1,10 %","0,80 %","8,3 €/m2","1,20 %","-0,10 %","-3,80 %","11,9 €/m2","0,40 %","1,10 %","2,10 %","13,9 €/m2","0,60 %","1,00 %","2,30 %","9,2 €/m2","-0,20 %","0,90 %","0,50 %","11,3 €/m2","-0,20 %","0,90 %","0,60 %","8,3 €/m2","0,00 %","1,20 %","-0,10 %","8,0 €/m2","-1,50 %","-4,00 %","0,70 %","8,8 €/m2","-1,40 %","-0,30 %","1,10 %","7,5 €/m2","0,00 %","1,20 %","-3,00 %"
01/09/14,"11,4 €/m2","0,60 %","1,30 %","1,30 %","11,0 €/m2","0,00 %","0,00 %","0,00 %","9,4 €/m2","-2,10 %","-0,60 %","-3,20 %","8,3 €/m2","0,20 %","-1,20 %","-4,70 %","13,5 €/m2","1,50 %","1,50 %","1,50 %","12,3 €/m2","0,00 %","-0,20 %","1,00 %","13,3 €/m2","0,00 %","0,00 %","0,00 %","10,0 €/m2","0,10 %","0,10 %","0,20 %","9,8 €/m2","0,00 %","-1,00 %","-2,20 %","10,2 €/m2","-0,90 %","-0,20 %","-0,40 %","8,5 €/m2","0,50 %","1,70 %","-1,80 %","11,4 €/m2","0,20 %","2,30 %","3,20 %","8,3 €/m2","-0,80 %","-1,70 %","-0,30 %","8,2 €/m2","-0,60 %","-1,30 %","-5,30 %","11,8 €/m2","0,00 %","1,30 %","2,30 %","13,8 €/m2","1,20 %","0,40 %","1,90 %","9,2 €/m2","2,10 %","-0,10 %","0,60 %","11,4 €/m2","0,60 %","1,20 %","0,50 %","8,3 €/m2","1,50 %","1,00 %","-0,10 %","8,1 €/m2","-2,50 %","-2,50 %","-1,00 %","9,0 €/m2","1,10 %","1,10 %","1,60 %","7,5 €/m2","1,10 %","1,00 %","-4,10 %"
01/08/14,"11,3 €/m2","0,30 %","1,10 %","1,10 %","11,0 €/m2","0,00 %","-1,00 %","-1,00 %","9,6 €/m2","1,90 %","-1,30 %","-1,00 %","8,3 €/m2","-0,20 %","-1,60 %","-4,90 %","13,3 €/m2","0,00 %","-0,40 %","0,00 %","12,3 €/m2","0,00 %","-0,10 %","2,20 %","13,3 €/m2","0,00 %","0,90 %","0,00 %","10,0 €/m2","0,10 %","0,10 %","0,10 %","9,8 €/m2","-1,50 %","-0,10 %","-1,80 %","10,3 €/m2","0,20 %","0,50 %","0,70 %","8,5 €/m2","0,10 %","1,40 %","-2,30 %","11,3 €/m2","0,00 %","2,10 %","3,40 %","8,3 €/m2","-0,20 %","0,00 %","-0,10 %","8,3 €/m2","-0,60 %","-0,70 %","-4,50 %","11,8 €/m2","0,60 %","1,60 %","2,30 %","13,6 €/m2","-0,80 %","-0,80 %","2,20 %","9,0 €/m2","-1,00 %","-3,10 %","-2,40 %","11,3 €/m2","0,50 %","0,70 %","-0,20 %","8,2 €/m2","-0,30 %","-1,20 %","-0,60 %","8,3 €/m2","0,00 %","2,00 %","1,20 %","8,9 €/m2","0,00 %","-0,30 %","0,20 %","7,4 €/m2","0,00 %","-1,10 %","-4,10 %"
