date,precio_m2,var_mensual,var_trimest,var_anual,distrito,month,year
2014-12-01,2681,0.1,0.4,1.7,madrid,12,2014
2014-11-01,2683,0.5,0.8,1.6,madrid,11,2014
2014-10-01,2671,0.0,0.6,1.9,madrid,10,2014
2014-09-01,2670,0.3,0.7,2.0,madrid,9,2014
2014-08-01,2661,0.9,0.3,2.1,madrid,8,2014
2014-07-01,2686,0.0,0.6,1.2,madrid,7,2014
2014-06-01,2687,0.6,0.5,1.2,madrid,6,2014
2014-05-01,2670,0.0,2.1,3.0,madrid,5,2014
2014-04-01,2670,1.1,2.5,2.8,madrid,4,2014
2014-03-01,2700,1.0,1.0,1.9,madrid,3,2014
2014-02-01,2727,0.4,0.0,0.4,madrid,2,2014
2014-01-01,2737,0.3,0.5,0.1,madrid,1,2014
2013-12-01,2728,0.1,0.1,1.6,madrid,12,2013
2013-11-01,2726,0.1,0.3,2.8,madrid,11,2013
2013-10-01,2723,0.1,0.2,4.1,madrid,10,2013
2013-09-01,2725,0.3,0.1,4.7,madrid,9,2013
2013-08-01,2717,0.0,1.3,6.0,madrid,8,2013
2013-07-01,2718,0.1,1.1,7.1,madrid,7,2013
2013-06-01,2721,1.1,1.2,8.2,madrid,6,2013
2013-05-01,2752,0.2,0.6,7.9,madrid,5,2013
2013-04-01,2747,0.2,0.3,8.4,madrid,4,2013
2013-03-01,2754,0.6,0.7,9.3,madrid,3,2013
2013-02-01,2737,0.1,2.4,10.2,madrid,2,2013
2013-01-01,2740,1.2,3.5,10.7,madrid,1,2013
2012-12-01,2772,1.1,3.0,10.0,madrid,12,2012
2012-11-01,2803,1.3,3.0,9.7,madrid,11,2012
2012-10-01,2840,0.7,2.9,9.0,madrid,10,2012
2012-09-01,2859,1.1,3.5,8.5,madrid,9,2012
2012-08-01,2891,1.2,3.2,8.3,madrid,8,2012
2012-07-01,2926,1.3,2.4,8.3,madrid,7,2012
2012-06-01,2963,0.8,2.4,8.2,madrid,6,2012
2012-05-01,2988,0.4,1.9,7.8,madrid,5,2012
2012-04-01,2999,1.3,2.3,7.7,madrid,4,2012
2012-03-01,3037,0.3,1.4,7.0,madrid,3,2012
2023-06-01,4392,0.1,0.8,2.8,arganzuela,6,2023
2023-05-01,4396,0.5,1.0,4.8,arganzuela,5,2023
2023-04-01,4376,0.4,1.0,4.4,arganzuela,4,2023
2023-03-01,4358,0.1,0.6,5.4,arganzuela,3,2023
2023-02-01,4354,0.5,0.5,5.1,arganzuela,2,2023
2023-01-01,4333,0.1,0.6,6.3,arganzuela,1,2023
2022-12-01,4331,0.0,1.5,6.1,arganzuela,12,2022
2022-11-01,4331,0.5,0.6,6.1,arganzuela,11,2022
2022-10-01,4308,1.0,0.1,4.6,arganzuela,10,2022
2022-09-01,4265,0.9,0.2,4.2,arganzuela,9,2022
2022-08-01,4303,0.2,2.6,7.3,arganzuela,8,2022
2022-07-01,4311,0.9,2.8,6.6,arganzuela,7,2022
2022-06-01,4272,1.8,3.3,5.0,arganzuela,6,2022
2022-05-01,4195,0.1,1.2,4.2,arganzuela,5,2022
2022-04-01,4192,1.4,2.8,5.8,arganzuela,4,2022
2022-03-01,4136,0.2,1.3,4.0,arganzuela,3,2022
2022-02-01,4144,1.6,1.6,4.2,arganzuela,2,2022
2022-01-01,4077,0.1,1.0,2.5,arganzuela,1,2022
2021-12-01,4083,0.1,0.2,3.4,arganzuela,12,2021
2021-11-01,4081,0.9,1.8,3.4,arganzuela,11,2021
2021-10-01,4119,0.7,1.8,4.0,arganzuela,10,2021
2021-09-01,4092,2.1,0.5,2.9,arganzuela,9,2021
2021-08-01,4009,0.9,0.4,0.7,arganzuela,8,2021
2021-07-01,4045,0.6,2.1,1.6,arganzuela,7,2021
2021-06-01,4070,1.1,2.3,1.4,arganzuela,6,2021
2021-05-01,4025,1.6,1.2,0.4,arganzuela,5,2021
2021-04-01,3962,0.4,0.4,1.2,arganzuela,4,2021
2021-03-01,3978,0.0,0.7,1.1,arganzuela,3,2021
2021-02-01,3977,0.1,0.7,0.3,arganzuela,2,2021
2021-01-01,3979,0.8,0.5,0.5,arganzuela,1,2021
2020-12-01,3949,0.0,0.7,2.2,arganzuela,12,2020
2020-11-01,3948,0.3,0.8,3.1,arganzuela,11,2020
2020-10-01,3961,0.4,0.5,2.8,arganzuela,10,2020
2020-09-01,3977,0.1,1.0,2.1,arganzuela,9,2020
2020-08-01,3979,0.0,0.8,2.1,arganzuela,8,2020
2020-07-01,3981,0.9,0.8,2.9,arganzuela,7,2020
2020-06-01,4015,0.1,0.1,1.9,arganzuela,6,2020
2020-05-01,4010,0.0,0.5,2.0,arganzuela,5,2020
2020-04-01,4011,0.2,0.3,1.9,arganzuela,4,2020
2020-03-01,4021,0.8,0.4,0.7,arganzuela,3,2020
2020-02-01,3990,0.3,2.0,0.8,arganzuela,2,2020
2020-01-01,4001,0.9,1.8,0.0,arganzuela,1,2020
2019-12-01,4036,0.9,0.7,0.2,arganzuela,12,2019
2019-11-01,4073,0.1,0.2,1.9,arganzuela,11,2019
2019-10-01,4075,0.3,0.6,2.0,arganzuela,10,2019
2019-09-01,4063,0.0,0.7,2.7,arganzuela,9,2019
2019-08-01,4063,0.9,0.7,2.4,arganzuela,8,2019
2019-07-01,4098,0.2,0.2,2.8,arganzuela,7,2019
2019-06-01,4091,0.0,1.1,5.3,arganzuela,6,2019
2019-05-01,4092,0.0,1.7,8.9,arganzuela,5,2019
2019-04-01,4090,1.0,2.2,10.4,arganzuela,4,2019
2019-03-01,4049,0.6,0.5,10.6,arganzuela,3,2019
2019-02-01,4024,0.6,0.6,11.1,arganzuela,2,2019
2019-01-01,4000,0.7,0.1,13.6,arganzuela,1,2019
2018-12-01,4029,0.8,1.8,17.6,arganzuela,12,2018
2018-11-01,3999,0.1,0.8,18.9,arganzuela,11,2018
2018-10-01,3996,1.0,0.3,20.2,arganzuela,10,2018
2018-09-01,3957,0.3,1.8,19.4,arganzuela,9,2018
2018-08-01,3969,0.4,5.7,20.3,arganzuela,8,2018
2018-07-01,3985,2.5,7.6,21.6,arganzuela,7,2018
2018-06-01,3887,3.5,6.1,21.1,arganzuela,6,2018
2018-05-01,3756,1.4,3.7,18.4,arganzuela,5,2018
2018-04-01,3705,1.2,5.2,19.5,arganzuela,4,2018
2018-03-01,3662,1.1,6.8,20.8,arganzuela,3,2018
2018-02-01,3622,2.9,7.7,20.8,arganzuela,2,2018
2018-01-01,3521,2.7,5.9,19.6,arganzuela,1,2018
2017-12-01,3427,1.9,3.4,16.6,arganzuela,12,2017
2017-11-01,3363,1.2,1.9,15.1,arganzuela,11,2017
2017-10-01,3324,0.3,1.5,14.6,arganzuela,10,2017
2017-09-01,3313,0.4,3.3,13.9,arganzuela,9,2017
2017-08-01,3300,0.7,4.0,13.4,arganzuela,8,2017
2017-07-01,3276,2.1,5.7,13.1,arganzuela,7,2017
2017-06-01,3208,1.1,5.8,12.6,arganzuela,6,2017
2017-05-01,3173,2.3,5.8,13.3,arganzuela,5,2017
2017-04-01,3101,2.3,5.4,11.4,arganzuela,4,2017
2017-03-01,3031,1.1,3.1,10.8,arganzuela,3,2017
2017-02-01,2999,1.9,2.6,9.6,arganzuela,2,2017
2017-01-01,2943,0.1,1.5,7.7,arganzuela,1,2017
2016-12-01,2940,0.6,1.1,6.5,arganzuela,12,2016
2016-11-01,2922,0.8,0.4,6.3,arganzuela,11,2016
2016-10-01,2899,0.3,0.1,4.5,arganzuela,10,2016
2016-09-01,2909,0.0,2.1,4.9,arganzuela,9,2016
2016-08-01,2910,0.4,3.9,5.6,arganzuela,8,2016
2016-07-01,2897,1.7,4.1,5.7,arganzuela,7,2016
2016-06-01,2849,1.7,4.1,4.0,arganzuela,6,2016
2016-05-01,2800,0.6,2.3,3.4,arganzuela,5,2016
2016-04-01,2783,1.7,1.8,2.8,arganzuela,4,2016
2016-03-01,2736,0.0,0.9,1.1,arganzuela,3,2016
2016-02-01,2736,0.1,0.4,2.4,arganzuela,2,2016
2016-01-01,2732,1.1,1.6,2.5,arganzuela,1,2016
2015-12-01,2761,0.5,0.4,3.5,arganzuela,12,2015
2015-11-01,2748,1.0,0.3,3.4,arganzuela,11,2015
2015-10-01,2776,0.1,1.2,4.1,arganzuela,10,2015
2015-09-01,2773,0.6,1.2,3.8,arganzuela,9,2015
2015-08-01,2757,0.5,1.8,2.6,arganzuela,8,2015
2015-07-01,2742,0.1,1.3,1.5,arganzuela,7,2015
2015-06-01,2739,1.2,1.3,1.1,arganzuela,6,2015
2015-05-01,2708,0.0,1.3,0.4,arganzuela,5,2015
2015-04-01,2708,0.1,1.5,0.2,arganzuela,4,2015
2015-03-01,2705,1.2,1.4,0.9,arganzuela,3,2015
2015-02-01,2672,0.2,0.5,1.7,arganzuela,2,2015
2015-01-01,2667,0.1,0.0,0.5,arganzuela,1,2015
2014-12-01,2669,0.4,0.1,0.9,arganzuela,12,2014
2014-11-01,2658,0.3,1.1,2.1,arganzuela,11,2014
2014-10-01,2667,0.2,1.3,3.0,arganzuela,10,2014
2014-09-01,2671,0.6,1.4,3.3,arganzuela,9,2014
2014-08-01,2688,0.6,0.4,2.3,arganzuela,8,2014
2014-07-01,2703,0.2,0.4,2.7,arganzuela,7,2014
2014-06-01,2709,0.4,0.7,2.6,arganzuela,6,2014
2014-05-01,2697,0.6,0.7,4.3,arganzuela,5,2014
2014-04-01,2714,0.6,1.3,3.8,arganzuela,4,2014
2014-03-01,2730,0.5,1.4,4.1,arganzuela,3,2014
2014-02-01,2717,1.4,0.1,5.7,arganzuela,2,2014
2014-01-01,2680,0.5,2.5,7.9,arganzuela,1,2014
2013-12-01,2692,0.8,2.5,7.5,arganzuela,12,2013
2013-11-01,2714,1.3,1.3,8.2,arganzuela,11,2013
2013-10-01,2750,0.4,1.0,8.6,arganzuela,10,2013
2013-09-01,2762,0.4,0.7,8.4,arganzuela,9,2013
2013-08-01,2750,1.0,2.4,8.7,arganzuela,8,2013
2013-07-01,2778,0.1,1.6,9.2,arganzuela,7,2013
2013-06-01,2781,1.3,2.3,10.2,arganzuela,6,2013
2013-05-01,2818,0.1,2.2,10.4,arganzuela,5,2013
2013-04-01,2821,0.9,3.1,10.8,arganzuela,4,2013
2013-03-01,2846,1.2,2.2,12.2,arganzuela,3,2013
2013-02-01,2881,1.0,2.5,10.8,arganzuela,2,2013
2013-01-01,2910,0.0,3.2,10.9,arganzuela,1,2013
2012-12-01,2911,1.5,3.4,11.8,arganzuela,12,2012
2012-11-01,2956,1.7,1.8,10.6,arganzuela,11,2012
2012-10-01,3007,0.2,1.7,9.8,arganzuela,10,2012
2012-09-01,3014,0.1,2.6,9.6,arganzuela,9,2012
2012-08-01,3010,1.6,4.3,9.7,arganzuela,8,2012
2012-07-01,3060,1.1,3.3,9.6,arganzuela,7,2012
2012-06-01,3095,1.6,4.5,9.6,arganzuela,6,2012
2012-05-01,3144,0.6,2.7,8.6,arganzuela,5,2012
2012-04-01,3164,2.4,3.1,8.5,arganzuela,4,2012
2012-03-01,3242,0.3,1.8,6.7,arganzuela,3,2012
2023-06-01,3507,2.8,3.2,7.5,barajas,6,2023
2023-05-01,3411,1.8,0.1,5.2,barajas,5,2023
2023-04-01,3351,1.4,1.2,2.5,barajas,4,2023
2023-03-01,3399,0.3,0.2,2.0,barajas,3,2023
2023-02-01,3407,0.5,1.1,1.6,barajas,2,2023
2023-01-01,3391,0.1,0.0,1.4,barajas,1,2023
2022-12-01,3394,1.5,3.3,1.1,barajas,12,2022
2022-11-01,3447,1.6,3.7,2.1,barajas,11,2022
2022-10-01,3391,3.2,3.6,0.7,barajas,10,2022
2022-09-01,3285,1.2,0.7,1.3,barajas,9,2022
2022-08-01,3325,1.6,2.5,0.4,barajas,8,2022
2022-07-01,3274,0.3,0.1,2.1,barajas,7,2022
2022-06-01,3264,0.6,2.0,2.8,barajas,6,2022
2022-05-01,3244,0.8,3.3,2.6,barajas,5,2022
2022-04-01,3270,1.8,2.2,2.4,barajas,4,2022
